episode,timestep,reward
121,2000,17.1877
250,4000,17.1024
350,6000,19.2589
456,8000,19.0991
549,10000,20.4726
641,12000,20.7678
724,14000,21.0496
813,16000,21.0433
884,18000,22.7491
957,20000,23.4438
1017,22000,26.627
1087,24000,23.7029
1142,26000,26.6179
1195,28000,26.8706
1251,30000,26.7875
1303,32000,28.4919
1349,34000,31.1843
1397,36000,29.2421
1444,38000,31.0489
1494,40000,31.0088
1535,42000,33.1526
1577,44000,33.7874
1619,46000,30.1689
1663,48000,32.4259
1703,50000,34.1753
1745,52000,36.7006
1781,54000,33.3617
1817,56000,35.1424
1855,58000,36.6524
1895,60000,33.6356
1927,62000,39.7313
1964,64000,38.6668
1998,66000,38.0181
2033,68000,38.9179
2062,70000,43.5818
2093,72000,39.9349
2125,74000,40.2522
2156,76000,43.7531
2188,78000,41.1613
2216,80000,48.2669
2248,82000,41.0376
2277,84000,43.6817
2304,86000,50.2778
2333,88000,47.5819
2363,90000,47.3123
2397,92000,41.2312
2424,94000,53.6255
2452,96000,51.2778
2479,98000,56.4222
2504,100000,59.2082
2532,102000,48.6487
2561,104000,48.4363
2591,106000,44.2248
2618,108000,49.1923
2643,110000,49.8158
2669,112000,58.5942
2695,114000,54.0106
2722,116000,53.8607
2746,118000,58.08
2773,120000,53.667
2800,122000,52.6848
2825,124000,53.1964
2847,126000,64.3432
2872,128000,53.9405
2900,130000,52.2866
2925,132000,60.5446
2949,134000,60.8732
2976,136000,57.1973
3001,138000,60.6383
3028,140000,47.2377
3052,142000,61.3448
3077,144000,57.002
3105,146000,51.8356
3128,148000,56.7613
3155,150000,55.9299
3178,152000,60.4315
3206,154000,56.8498
3230,156000,59.2421
3256,158000,65.4477
3282,160000,57.8772
3308,162000,60.0503
3332,164000,59.2719
3358,166000,55.2054
3383,168000,57.0851
3404,170000,69.1664
3429,172000,68.0075
3450,174000,61.7319
3474,176000,62.8655
3496,178000,59.9789
3523,180000,56.7752
3548,182000,55.5975
3574,184000,58.5791
3597,186000,64.5197
3624,188000,56.6857
3649,190000,58.6466
3671,192000,63.9881
3698,194000,61.5811
3727,196000,52.8054
3752,198000,63.3971
3778,200000,60.1636
3802,202000,63.4356
3828,204000,64.9758
3851,206000,61.8332
3876,208000,58.7852
3900,210000,66.4134
3924,212000,64.7528
3949,214000,63.9658
3974,216000,60.9632
4001,218000,63.0289
4028,220000,57.4702
4053,222000,62.0937
4078,224000,66.8996
4102,226000,67.0977
4126,228000,67.3943
4152,230000,64.8881
4176,232000,65.5846
4199,234000,64.7556
4223,236000,68.5926
4247,238000,63.3063
4274,240000,59.9839
4297,242000,56.1855
4319,244000,72.2998
4341,246000,63.861
4365,248000,61.3311
4391,250000,67.615
4414,252000,65.885
4438,254000,69.4666
4465,256000,69.1437
4490,258000,68.1678
4516,260000,65.3884
4540,262000,73.5417
4563,264000,77.5978
4587,266000,74.8373
4609,268000,74.6973
4632,270000,68.8419
4655,272000,71.2581
4678,274000,74.7908
4701,276000,64.875
4725,278000,69.2707
4752,280000,65.4831
4776,282000,68.5683
4803,284000,65.5789
4828,286000,69.1307
4852,288000,75.1012
4878,290000,71.1831
4904,292000,65.9459
4929,294000,71.5494
4953,296000,70.5431
4979,298000,71.2944
5001,300000,73.5065
5026,302000,67.717
5050,304000,66.6727
5075,306000,72.8613
5101,308000,70.4604
5125,310000,74.8499
5149,312000,68.1328
5173,314000,72.0895
5196,316000,68.3768
5219,318000,69.8955
5244,320000,70.7107
5269,322000,69.8123
5293,324000,66.5962
5318,326000,61.1221
5342,328000,69.1659
5367,330000,69.4356
5390,332000,69.4155
5412,334000,79.1331
5435,336000,67.1887
5458,338000,71.1222
5483,340000,73.506
5510,342000,63.0121
5536,344000,66.0427
5562,346000,73.4591
5585,348000,72.9869
5608,350000,69.2184
5632,352000,69.7048
5658,354000,70.0307
5682,356000,71.3791
5708,358000,70.1816
5735,360000,63.5718
5761,362000,69.5357
5786,364000,71.6269
5812,366000,70.9277
5836,368000,73.1486
5859,370000,70.4487
5882,372000,71.4419
5906,374000,76.3398
5930,376000,69.2756
5954,378000,69.2639
5976,380000,72.3647
6003,382000,71.6566
6028,384000,69.9276
6053,386000,72.1396
6078,388000,72.1897
6104,390000,67.4955
6129,392000,71.1331
6156,394000,60.3982
6181,396000,67.945
6208,398000,69.7567
