episode,timestep,reward
1,100,52.8941
3,200,84.3324
5,300,70.9491
7,400,61.9476
9,500,65.1799
11,600,64.4708
13,700,78.1788
15,800,72.526
17,900,74.953
19,1000,72.4718
21,1100,59.6061
23,1200,74.5947
25,1300,74.5623
27,1400,69.441
29,1500,62.8193
31,1600,89.3976
33,1700,67.5145
35,1800,103.0953
37,1900,66.7686
39,2000,77.7355
41,2100,67.774
43,2200,69.7479
45,2300,66.3144
47,2400,73.0883
49,2500,71.3048
51,2600,90.4461
53,2700,81.3581
55,2800,78.5737
57,2900,69.2893
59,3000,87.2372
61,3100,75.659
63,3200,75.2487
65,3300,67.0348
67,3400,83.913
69,3500,75.345
71,3600,77.2944
73,3700,78.8751
75,3800,76.5422
77,3900,121.3342
79,4000,71.6129
81,4100,66.1152
83,4200,72.9846
85,4300,70.7234
87,4400,99.5235
89,4500,82.6988
91,4600,76.2339
93,4700,67.8297
95,4800,76.2365
97,4900,67.0043
99,5000,89.5373
101,5100,87.7256
103,5200,88.761
105,5300,78.0666
107,5400,91.8044
109,5500,77.3219
111,5600,82.6224
113,5700,81.0968
115,5800,94.2454
117,5900,86.3553
119,6000,68.1453
121,6100,100.5998
123,6200,87.5465
125,6300,84.5026
127,6400,89.6823
129,6500,76.4559
131,6600,78.2495
133,6700,79.2776
135,6800,78.7068
137,6900,91.453
139,7000,83.484
141,7100,73.9351
143,7200,68.3598
145,7300,76.7262
147,7400,80.0255
149,7500,83.0085
151,7600,77.1275
153,7700,73.2133
155,7800,72.1357
157,7900,68.4188
159,8000,80.0922
161,8100,82.0476
163,8200,69.6805
165,8300,93.9788
167,8400,74.0333
169,8500,76.6258
171,8600,94.3724
173,8700,80.9214
175,8800,67.4792
177,8900,83.0642
